CardKey,CardNumberMasked,AccountKey,CustomerKey,CardType,Network,ExpiresAt,Status,ContactlessEnabled,InternationalEnabled
1,5226-XXXX-XXXX-9966,1,1,Debit,Mastercard,2027-06-12T12:00:00Z,Active,1,1
2,5777-XXXX-XXXX-2654,3,2,Credit,Amex,2030-04-30T12:00:00Z,Active,1,1
3,4623-XXXX-XXXX-2928,5,3,Credit,Mastercard,2027-07-25T12:00:00Z,Active,1,1
4,4466-XXXX-XXXX-7713,7,3,Debit,Mastercard,2027-12-01T12:00:00Z,Active,1,1
5,4113-XXXX-XXXX-2458,9,4,Credit,Visa,2029-06-28T12:00:00Z,Active,1,0
6,4840-XXXX-XXXX-2659,10,4,Debit,Mastercard,2027-04-20T12:00:00Z,Active,1,1
7,4202-XXXX-XXXX-3862,12,5,Credit,Visa,2028-06-15T12:00:00Z,Active,1,1
8,4197-XXXX-XXXX-1751,13,6,Credit,Visa,2028-07-19T12:00:00Z,Active,1,0
9,5999-XXXX-XXXX-2522,15,6,Debit,Mastercard,2028-10-19T12:00:00Z,Active,1,1
10,5806-XXXX-XXXX-8835,18,8,Debit,Mastercard,2029-05-09T12:00:00Z,Active,1,0
11,4964-XXXX-XXXX-3611,19,8,Credit,Visa,2027-06-06T12:00:00Z,Active,1,1
12,5897-XXXX-XXXX-6875,21,9,Credit,Amex,2029-04-02T12:00:00Z,Active,1,0
13,5551-XXXX-XXXX-1753,25,10,Debit,Visa,2029-07-13T12:00:00Z,Active,1,1
14,4785-XXXX-XXXX-6542,26,10,Debit,Amex,2029-09-26T12:00:00Z,Active,1,0
15,5454-XXXX-XXXX-7305,29,12,Debit,Visa,2030-07-04T12:00:00Z,Active,1,1
16,4617-XXXX-XXXX-8688,32,14,Credit,Mastercard,2027-02-06T12:00:00Z,Active,1,1
17,5151-XXXX-XXXX-9305,33,14,Debit,Visa,2028-02-23T12:00:00Z,Active,1,1
18,5190-XXXX-XXXX-9166,36,15,Credit,Mastercard,2027-03-28T12:00:00Z,Active,1,0
19,5136-XXXX-XXXX-9996,37,15,Debit,Visa,2026-11-23T12:00:00Z,Active,1,0
20,4770-XXXX-XXXX-8474,38,15,Credit,Mastercard,2030-04-07T12:00:00Z,Active,1,1
21,5673-XXXX-XXXX-8751,39,16,Credit,Amex,2028-01-17T12:00:00Z,Active,1,0
22,5463-XXXX-XXXX-5783,41,16,Debit,Amex,2030-06-28T12:00:00Z,Active,1,0
23,5209-XXXX-XXXX-5166,43,18,Debit,Amex,2027-09-19T12:00:00Z,Active,1,1
24,4833-XXXX-XXXX-6536,44,18,Credit,Visa,2028-12-30T12:00:00Z,Active,1,1
25,4890-XXXX-XXXX-8381,46,20,Credit,Mastercard,2030-05-06T12:00:00Z,Active,1,0
26,4666-XXXX-XXXX-8091,47,20,Debit,Amex,2029-08-04T12:00:00Z,Active,1,1
27,4206-XXXX-XXXX-7347,50,22,Debit,Amex,2030-01-14T12:00:00Z,Active,1,0
28,4380-XXXX-XXXX-7518,51,23,Debit,Mastercard,2028-12-13T12:00:00Z,Active,0,1
29,5963-XXXX-XXXX-9975,55,24,Credit,Mastercard,2027-07-18T12:00:00Z,Active,1,0
30,5803-XXXX-XXXX-6657,56,24,Debit,Amex,2027-12-03T12:00:00Z,Active,1,0
31,5827-XXXX-XXXX-2890,57,25,Credit,Mastercard,2027-10-17T12:00:00Z,Active,1,1
32,5998-XXXX-XXXX-7920,61,26,Credit,Visa,2029-02-18T12:00:00Z,Active,1,1
33,5868-XXXX-XXXX-3636,63,28,Debit,Mastercard,2030-07-21T12:00:00Z,Active,1,1
34,4467-XXXX-XXXX-8415,64,28,Debit,Visa,2028-06-13T12:00:00Z,Active,1,0
35,5343-XXXX-XXXX-9370,65,28,Credit,Amex,2029-12-11T12:00:00Z,Active,1,0
36,5665-XXXX-XXXX-1881,67,29,Credit,Visa,2028-12-07T12:00:00Z,Active,1,1
37,5873-XXXX-XXXX-9955,76,35,Debit,Amex,2028-01-22T12:00:00Z,Active,1,0
38,4799-XXXX-XXXX-2220,77,35,Credit,Visa,2027-11-18T12:00:00Z,Active,0,0
39,5233-XXXX-XXXX-3636,79,36,Debit,Amex,2027-01-09T12:00:00Z,Active,1,1
40,4140-XXXX-XXXX-3518,80,37,Credit,Mastercard,2029-05-30T12:00:00Z,Active,1,0
41,5602-XXXX-XXXX-6866,81,38,Credit,Visa,2030-04-20T12:00:00Z,Active,1,1
42,4525-XXXX-XXXX-9897,83,39,Debit,Amex,2027-10-29T12:00:00Z,Active,1,1
43,5400-XXXX-XXXX-4579,86,42,Credit,Amex,2030-07-07T12:00:00Z,Active,1,0
44,5556-XXXX-XXXX-4937,88,43,Credit,Amex,2030-06-08T12:00:00Z,Active,1,1
45,4495-XXXX-XXXX-5203,91,45,Debit,Amex,2028-08-05T12:00:00Z,Active,1,1
46,5598-XXXX-XXXX-1718,92,46,Debit,Mastercard,2028-11-23T12:00:00Z,Active,1,1
