CustomerKey,CustomerId,CustomerName,Segment,Country,HomeBranchKey,OnboardedAt,OnboardedDateKey,CreditScore,RiskBand,ChurnScore,IsPoliticallyExposed
1,CUST00001,Chloe Chen,Affluent,Canada,9,2026-01-09T12:00:00Z,20260109,665,High,0.223,0
2,CUST00002,Wei Andersson,Mass Retail,UAE,2,2019-09-07T12:00:00Z,20190907,555,Medium,0.094,1
3,CUST00003,Sofia Brown,Mass Retail,Canada,18,2019-01-07T12:00:00Z,20190107,754,Low,0.22,0
4,CUST00004,Omar Singh,Mass Retail,France,9,2021-07-25T12:00:00Z,20210725,619,Low,0.215,0
5,CUST00005,Carlos Chen,Mass Retail,France,9,2016-10-19T12:00:00Z,20161019,562,Medium,0.73,0
6,CUST00006,Emma Johnson,Mass Retail,Singapore,12,2019-04-04T12:00:00Z,20190404,835,High,0.192,0
7,CUST00007,Daniel Rossi,Mass Retail,UK,4,2025-05-30T12:00:00Z,20250530,734,Low,0.278,0
8,CUST00008,Wei Müller,Mass Retail,Canada,3,2023-04-24T12:00:00Z,20230424,627,Medium,0.534,0
9,CUST00009,Ben Johnson,Private Wealth,Canada,18,2019-02-16T12:00:00Z,20190216,652,Low,0.685,0
10,CUST00010,Sofia Singh,Student,Germany,3,2021-10-21T12:00:00Z,20211021,648,Low,0.913,0
11,CUST00011,Chloe Okafor,Mass Retail,India,5,2019-02-04T12:00:00Z,20190204,675,Medium,0.14,0
12,CUST00012,Ava Andersson,Affluent,UAE,12,2019-10-05T12:00:00Z,20191005,652,Medium,0.997,0
13,CUST00013,Sophia Dubois,Mass Retail,USA,6,2025-01-27T12:00:00Z,20250127,756,Medium,0.596,0
14,CUST00014,Omar Lee,Mass Retail,USA,4,2020-02-06T12:00:00Z,20200206,814,Low,0.751,0
15,CUST00015,Yuki Chen,Mass Retail,USA,9,2021-03-20T12:00:00Z,20210320,796,High,0.762,0
